epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        65, 3966.603, 0.000313,          0.84735,          0.10967,           84.735,        0.227,         0.23,        0.228,       0.0821,          0.84745,           0.1096,           84.745,        0.226,         0.23,        0.228,       0.0821
        66, 4027.874, 0.000313,          0.84733,          0.10937,           84.733,        0.227,         0.23,        0.228,        0.082,          0.84746,          0.10841,           84.746,        0.226,         0.23,        0.228,       0.0816
        67, 4089.293, 0.000313,          0.84733,          0.10842,           84.734,        0.227,         0.23,        0.228,       0.0816,          0.84744,          0.10862,           84.744,        0.226,         0.23,        0.228,       0.0817
        68, 4150.677, 0.000313,          0.84732,          0.10707,           84.732,        0.227,         0.23,        0.228,       0.0811,          0.84747,          0.11087,           84.747,        0.226,         0.23,        0.228,       0.0825
        69, 4211.960, 0.000156,          0.84728,          0.10793,           84.728,        0.227,         0.23,        0.228,       0.0814,          0.84745,          0.10904,           84.745,        0.226,         0.23,        0.228,       0.0819
        70, 4273.418, 0.000156,          0.84728,          0.10783,           84.728,        0.227,         0.23,        0.228,       0.0814,          0.84748,          0.10766,           84.748,        0.226,         0.23,        0.228,       0.0813
        71, 4334.619, 0.000156,          0.84728,          0.10724,           84.728,        0.227,         0.23,        0.228,       0.0812,          0.84745,          0.10726,           84.745,        0.226,         0.23,        0.228,       0.0812
        72, 4395.125, 0.000156,          0.84728,          0.10666,           84.728,        0.227,         0.23,        0.228,        0.081,          0.84745,          0.10732,           84.745,        0.226,         0.23,        0.228,       0.0812
        73, 4455.594, 0.000156,          0.84728,          0.10712,           84.728,        0.227,         0.23,        0.228,       0.0811,          0.84744,          0.10699,           84.744,        0.226,         0.23,        0.228,       0.0811
        74, 4516.310, 0.000156,          0.84727,           0.1063,           84.727,        0.227,         0.23,        0.228,       0.0808,          0.84744,          0.10675,           84.744,        0.226,         0.23,        0.228,        0.081
        75, 4577.034, 7.81e-05,          0.84725,          0.10614,           84.725,        0.227,         0.23,        0.228,       0.0808,          0.84743,          0.10619,           84.743,        0.226,         0.23,        0.228,       0.0808
        76, 4637.806, 7.81e-05,          0.84725,          0.10544,           84.725,        0.227,         0.23,        0.228,       0.0805,          0.84743,          0.10572,           84.743,        0.226,         0.23,        0.228,       0.0806
        77, 4698.190, 7.81e-05,          0.84725,           0.1056,           84.725,        0.227,         0.23,        0.228,       0.0806,          0.84744,          0.10599,           84.744,        0.226,         0.23,        0.228,       0.0807
        78, 4758.934, 7.81e-05,          0.84725,           0.1055,           84.725,        0.227,         0.23,        0.228,       0.0805,          0.84743,          0.10545,           84.743,        0.226,         0.23,        0.228,       0.0805
        79, 4819.789, 7.81e-05,          0.84725,          0.10563,           84.724,        0.227,         0.23,        0.228,       0.0806,          0.84744,           0.1057,           84.744,        0.226,         0.23,        0.228,       0.0806
        80, 4880.833, 7.81e-05,          0.84724,          0.10468,           84.724,        0.227,         0.23,        0.228,       0.0802,          0.84745,          0.10601,           84.745,        0.226,         0.23,        0.228,       0.0807
        81, 4941.432, 3.91e-05,          0.84723,          0.10522,           84.723,        0.227,         0.23,        0.228,       0.0804,          0.84744,          0.10542,           84.744,        0.226,         0.23,        0.228,       0.0805
        82, 5001.812, 3.91e-05,          0.84723,          0.10514,           84.723,        0.227,         0.23,        0.228,       0.0804,          0.84744,          0.10529,           84.744,        0.226,         0.23,        0.228,       0.0804
        83, 5062.218, 3.91e-05,          0.84723,          0.10507,           84.723,        0.227,         0.23,        0.228,       0.0804,          0.84744,          0.10543,           84.744,        0.226,         0.23,        0.228,       0.0805
