epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        92, 1414.367,     0.01,       0.00090743,       2.0208e-05,         0.090764,       0.0314,       0.0225,        0.019,       0.0211,       0.0235,      0.00358,       0.00067679,       1.1172e-07,         0.067679,       0.0265,       0.0185,       0.0193,         0.02,       0.0211,     0.000312
        93, 1429.602,     0.01,        0.0009863,       4.2556e-05,         0.098673,       0.0329,       0.0238,       0.0194,       0.0218,       0.0245,       0.0052,       0.00067296,       7.2995e-07,         0.067296,       0.0265,       0.0185,       0.0192,         0.02,        0.021,     0.000718
        94, 1444.825,     0.01,       0.00094227,       2.4583e-05,         0.094252,       0.0325,       0.0231,       0.0193,       0.0205,       0.0239,      0.00396,       0.00066798,       3.7023e-07,         0.066798,       0.0263,       0.0184,       0.0192,       0.0199,        0.021,      0.00052
        95, 1460.080,     0.01,       0.00097184,       3.4554e-05,         0.097218,       0.0333,       0.0238,       0.0192,       0.0205,       0.0242,      0.00459,       0.00066476,       9.3459e-07,         0.066477,       0.0263,       0.0184,       0.0191,       0.0199,       0.0209,     0.000813
        96, 1475.319,     0.01,       0.00089869,       6.9806e-05,         0.089938,       0.0311,       0.0222,       0.0193,       0.0209,       0.0234,      0.00666,       0.00066006,         3.17e-07,         0.066006,       0.0262,       0.0183,       0.0191,       0.0198,       0.0209,     0.000487
        97, 1490.565,     0.01,       0.00088019,       3.7234e-05,         0.088057,       0.0317,       0.0221,       0.0188,       0.0196,        0.023,      0.00487,       0.00065344,       3.2513e-07,         0.065344,       0.0261,       0.0183,       0.0191,       0.0198,       0.0208,     0.000498
        98, 1505.844,     0.01,       0.00093172,       1.6132e-05,         0.093188,       0.0328,       0.0233,       0.0185,       0.0199,       0.0236,       0.0032,       0.00064975,       1.2734e-07,         0.064975,        0.026,       0.0182,        0.019,       0.0197,       0.0207,     0.000337
        99, 1521.071,     0.01,       0.00090619,       3.3155e-05,         0.090653,       0.0316,       0.0226,       0.0189,       0.0208,       0.0235,      0.00459,       0.00064805,       3.3252e-07,         0.064805,        0.026,       0.0181,        0.019,       0.0197,       0.0207,     0.000493
       100, 1536.347,     0.01,       0.00091686,       2.7831e-05,         0.091714,       0.0322,       0.0231,       0.0186,       0.0202,       0.0235,      0.00421,       0.00064353,       4.9543e-07,         0.064353,       0.0259,       0.0181,       0.0189,       0.0196,       0.0206,     0.000603
       101, 1551.579,     0.01,       0.00094744,       3.8041e-05,         0.094782,       0.0331,       0.0236,       0.0182,       0.0205,       0.0238,      0.00492,       0.00063913,       6.9727e-07,         0.063913,       0.0258,        0.018,       0.0188,       0.0195,       0.0205,     0.000714
