epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        64, 1204.294,     0.01,       0.00088437,       1.5166e-05,         0.088453,       0.0308,       0.0223,       0.0206,       0.0216,       0.0238,      0.00317,       0.00074346,       6.5517e-07,         0.074347,       0.0278,       0.0203,         0.02,       0.0205,       0.0221,     0.000656
        65, 1222.927,     0.01,        0.0009833,         1.88e-05,         0.098349,       0.0337,       0.0242,       0.0206,       0.0215,        0.025,      0.00353,       0.00073365,        3.457e-07,         0.073365,       0.0276,       0.0201,       0.0198,       0.0204,        0.022,     0.000478
        66, 1241.545,     0.01,       0.00091294,       1.7312e-05,         0.091311,       0.0318,        0.023,       0.0202,       0.0216,       0.0242,      0.00339,       0.00072402,       5.1978e-07,         0.072403,       0.0275,         0.02,       0.0197,       0.0202,       0.0218,     0.000587
        67, 1260.120,     0.01,       0.00097858,       1.6295e-05,         0.097874,       0.0339,       0.0243,         0.02,       0.0211,       0.0249,      0.00329,        0.0007148,       4.8678e-07,          0.07148,       0.0273,       0.0199,       0.0195,         0.02,       0.0217,      0.00057
        68, 1278.708,     0.01,       0.00085228,       1.5928e-05,         0.085244,       0.0298,       0.0216,       0.0206,       0.0218,       0.0235,      0.00325,       0.00070594,       5.1621e-07,         0.070594,       0.0272,       0.0198,       0.0194,       0.0199,       0.0216,     0.000585
        69, 1297.283,     0.01,        0.0010325,       2.0929e-05,          0.10327,       0.0347,       0.0247,       0.0206,       0.0223,       0.0256,       0.0037,       0.00070172,        1.371e-06,         0.070174,       0.0271,       0.0197,       0.0193,       0.0198,       0.0215,     0.000948
        70, 1315.918,     0.01,       0.00083592,       1.7927e-05,          0.08361,         0.03,       0.0218,       0.0201,       0.0208,       0.0232,      0.00344,       0.00069277,       4.7352e-07,         0.069278,       0.0269,       0.0196,       0.0192,       0.0197,       0.0214,     0.000561
        71, 1334.566,     0.01,       0.00091278,        2.379e-05,         0.091301,       0.0325,       0.0233,       0.0198,       0.0207,       0.0241,      0.00397,       0.00068481,       4.5191e-07,         0.068481,       0.0268,       0.0195,        0.019,       0.0195,       0.0212,     0.000548
        72, 1353.134,     0.01,        0.0008847,       1.6949e-05,         0.088487,       0.0309,       0.0221,       0.0202,       0.0222,       0.0238,      0.00335,       0.00067709,        3.178e-07,         0.067709,       0.0267,       0.0194,        0.019,       0.0194,       0.0211,     0.000459
        73, 1371.756,     0.01,       0.00097255,       2.2049e-05,         0.097277,       0.0333,       0.0239,       0.0202,       0.0219,       0.0249,      0.00382,       0.00067219,       5.0671e-07,          0.06722,       0.0266,       0.0193,       0.0189,       0.0194,        0.021,     0.000579
        74, 1390.358,     0.01,       0.00083109,       1.9324e-05,         0.083128,       0.0303,       0.0218,       0.0193,       0.0208,       0.0231,      0.00358,       0.00066375,        2.537e-07,         0.066376,       0.0265,       0.0192,       0.0187,       0.0192,       0.0209,     0.000412
        75, 1408.956,     0.01,        0.0010342,       1.6859e-05,          0.10344,       0.0354,       0.0252,       0.0198,       0.0214,       0.0254,      0.00334,       0.00065951,       4.2364e-07,         0.065951,       0.0264,       0.0192,       0.0187,       0.0191,       0.0208,     0.000532
        76, 1427.558,     0.01,       0.00083551,        2.182e-05,         0.083573,       0.0299,       0.0216,       0.0199,       0.0213,       0.0232,       0.0038,       0.00065504,        5.598e-07,         0.065505,       0.0263,       0.0191,       0.0186,       0.0191,       0.0208,     0.000612
        77, 1446.139,     0.01,       0.00084299,       1.3804e-05,         0.084313,        0.031,       0.0225,       0.0188,       0.0202,       0.0231,      0.00302,        0.0006463,       4.7727e-07,         0.064631,       0.0262,        0.019,       0.0185,       0.0189,       0.0206,     0.000563
        78, 1464.734,     0.01,       0.00080146,       9.3386e-06,         0.080155,       0.0298,       0.0213,       0.0193,       0.0201,       0.0226,      0.00249,       0.00063883,       4.3076e-07,         0.063883,        0.026,       0.0189,       0.0183,       0.0188,       0.0205,     0.000539
        79, 1483.315,     0.01,       0.00080813,        1.934e-05,         0.080833,       0.0301,       0.0218,        0.019,       0.0199,       0.0227,      0.00358,       0.00063008,       9.3534e-07,         0.063009,       0.0259,       0.0187,       0.0182,       0.0187,       0.0204,     0.000784
        80, 1501.918,     0.01,       0.00083744,       1.4753e-05,         0.083759,       0.0306,        0.022,       0.0193,       0.0205,       0.0231,      0.00313,       0.00062378,       3.3799e-07,         0.062378,       0.0257,       0.0187,       0.0181,       0.0186,       0.0203,     0.000475
        81, 1520.527,     0.01,       0.00082442,        1.955e-05,         0.082461,       0.0303,       0.0222,       0.0187,       0.0205,       0.0229,       0.0036,       0.00061731,       6.3164e-07,         0.061732,       0.0256,       0.0186,        0.018,       0.0184,       0.0202,     0.000648
        82, 1539.099,     0.01,       0.00087087,        2.186e-05,         0.087109,       0.0317,       0.0228,       0.0191,       0.0204,       0.0235,       0.0038,       0.00061446,        4.486e-07,         0.061447,       0.0256,       0.0185,        0.018,       0.0184,       0.0201,     0.000545
